treebank	WALS_code	ttr	ttr_sd	msp	msp_sd	ws	ws_sd	wh	wh_sd	lh	lh_sd	is	is_sd	mfh	mfh_sd	-ia	-ia_sd
Afrikaans-AfriBooms	afr	0.168628	0.002374534902	1.148436674	0.004036106645	0.543985029	0.01145824773	8.941647741	0.02190106666	8.775155967	0.02028307541	3	0	3.867341943	0.5501693385	-0.6670442898	0
Ancient_Greek-Perseus	grc	0.414903	0.003198974992	1.983758972	0.004961057644	0.349783841	0.004281737858	11.29112756	0.02331140548	9.495673675	0.02517182108	9	0	3.582637139	0.5552040379	-0.1540762319	0
Ancient_Greek-PROIEL	grc	0.315957	0.003280625093	2.139669093	0.005116099048	0.387731277	0.004594588186	10.31455157	0.02538544191	8.388485451	0.02842943237	9	0	3.894623099	0.6529550538	-0.1330701959	0
Arabic-PADT	arb	0.2657525	0.003370499777	1.665954874	0.004691198422	0.2826963882	0.008202347563	10.0718682	0.02652689612	9.219095821	0.02274781692	7	0	3.21924823	0.6371306836	-0.1000941061	0
Basque-BDT	bsq	0.3767215	0.003945125188	1.779372454	0.004188887633	0.5698891725	0.00639943772	11.32465899	0.02550663366	9.678489659	0.02305751699	19.13	1.411771936	3.76816246	0.7769198296	-0.3170176164	0
Bulgarian-BTB	bul	0.3551605	0.003757081946	1.430487855	0.00425175335	0.46335577	0.006329397945	10.54129902	0.02365964578	9.801146364	0.02500446459	9.6	0.4898979486	3.7559373	0.5933548429	-0.3490676305	0
Catalan-AnCora	ctl	0.2578375	0.003072217237	1.252523247	0.004876422929	0.4262502014	0.007666236009	9.447236817	0.02342034076	8.749057703	0.02735313086	6	0	3.552881864	0.3368584395	-0.517017017	0
Chinese-GSD	mnd	0.3006155	0.003523320132	1.000835208	0.0001153559631	0.5520700313	0.008997585952	10.78694394	0.02728879498	10.77949026	0.0235474244	1	0	2.741359573	0.1482558246	-0.998998999	0
Croatian-SET	scr	0.397066	0.004427447798	1.53894346	0.004534027031	0.4942307145	0.006246025221	11.06939569	0.02231257367	10.14146101	0.02459456076	7	0	3.80011068	0.59083274	-0.2659995325	0
Czech-CAC	cze	0.4243295	0.004372516981	1.527556362	0.004129827052	0.4813819647	0.006535334453	11.37131275	0.02073430784	10.41233078	0.02899906288	11.1	0.5567764363	3.87107055	0.8030838035	-0.3340556125	0
Czech-FicTree	cze	0.344203	0.003691529629	1.527493091	0.004262603724	0.3414997131	0.004897345589	10.70176208	0.02574269365	9.562066135	0.0273985087	10.97	0.1705872211	4.043811896	0.7156827002	-0.3130136124	0
Czech-PDT	cze	0.455534	0.003845574599	1.47285595	0.003460178145	0.4120110169	0.004935850241	11.58426348	0.02093499158	10.64944127	0.02652881732	12.13	0.8325262759	3.946193639	0.8101898051	-0.3350386314	0
Danish-DDT	dan	0.2882045	0.003770564248	1.247308067	0.004023950688	0.3918042188	0.006473834026	10.00188485	0.0266076042	9.539480967	0.02886006701	6.62	0.6749814812	3.824173962	0.493413767	-0.478996961	0
Dutch-Alpino	dut	0.2865185	0.002764268936	1.161985803	0.003666454871	0.3964618462	0.006521719277	9.826952957	0.02147608668	9.451875481	0.02459436443	3	0	3.567676153	0.2840165177	-0.6109912308	0
Dutch-LassySmall	dut	0.2687505	0.003047265126	1.142589668	0.00320171385	0.437334499	0.007661120939	9.828698222	0.03084686122	9.531771633	0.0254416597	3	0	3.365536386	0.1828157154	-0.5870091649	0
English-EWT	eng	0.2306245	0.002998345335	1.172488134	0.003954926098	0.2902283885	0.006727345887	9.713339143	0.02800781544	9.255834447	0.02653905588	7.43	0.6205642594	3.791257165	0.3453595383	-0.6840103577	0
English-GUM	eng	0.2311155	0.002984490702	1.190417966	0.003787185915	0.3435767275	0.006533744629	9.80883932	0.0259658615	9.45710034	0.02562395312	5	0	3.733888007	0.3579348662	-0.6789963616	0
English-LinES	eng	0.2007715	0.002745871947	1.2385479	0.004383652758	0.3181676258	0.006376594047	9.420572719	0.02502460757	8.926451044	0.02006402404	7.12	0.3249615362	3.735776673	0.3809058177	-0.6319912727	0
English-ParTUT	eng	0.1904075	0.002481777337	1.19848729	0.003832101401	0.4268754406	0.009214084031	9.48930398	0.028566199	9.125302389	0.02982099048	5	0	3.635499726	0.3618973117	-0.6859913806	0
Estonian-EDT	est	0.4908085	0.004143989955	1.471287946	0.004032261988	0.4581399005	0.005388463061	11.89101568	0.02754823649	10.86535025	0.03447262611	9.93	0.4063249931	3.704047588	0.6488342858	-0.1770093447	0
Finnish-FTB	fin	0.4739215	0.004145981518	1.658715374	0.004258978777	0.4771633545	0.005175213853	11.79558784	0.02805321453	10.33484915	0.03271696313	15.11	0.3128897569	3.795328764	0.6981996445	-0.2349894805	0
Finnish-TDT	fin	0.509791	0.004990317525	1.636019533	0.00402503023	0.5533489036	0.007223300316	12.05405296	0.02592807397	10.71451801	0.03665363899	18.18	0.4770744177	3.773120859	0.8385033058	-0.1360162558	0
French-GSD	fre	0.297095	0.003176920679	1.227185696	0.003952837807	0.4012826836	0.007187464345	9.575279554	0.02648028746	8.819107512	0.02756213137	6	0	3.349597892	0.2352844075	-0.5579981179	0
French-Sequoia	fre	0.212571	0.003487923308	1.291382794	0.004322957338	0.4949154773	0.008513150805	9.326336876	0.02425681967	8.476031603	0.02851375546	7	0	3.345854053	0.3024368438	-0.5529871189	0
German-GSD	deu	0.3671525	0.003194772097	1.156967207	0.003479860396	0.4672376778	0.006689312625	10.44400064	0.0227819953	9.706282455	0.02659111281	8.87	0.9659710141	3.658561071	0.4184010956	-0.5870001738	0
Gothic-PROIEL	got	0.2091245	0.002671090554	2.139252573	0.005489183724	0.5114843812	0.009809403263	9.676912029	0.02542914333	8.241401378	0.03133570404	10	0	3.788594897	0.648612759	-0.2120503737	0
Greek-GDT	grk	0.2487795	0.003433846932	1.613331432	0.004359958489	0.5169611596	0.007327460445	9.696859999	0.02057792113	8.351142064	0.02188137361	9	0	3.668587514	0.509442181	-0.3470446494	0
Hebrew-HTB	heb	0.265816	0.002916649448	1.404472533	0.004894390514	0.188939859	0.008729938803	9.489467886	0.0268604452	8.799549238	0.02686774285	12	0	3.582896654	0.4987717643	-0.4390258522	0
Hindi-HDTB	hin	0.2209145	0.002932237158	1.197362476	0.004518716303	0.2165604927	0.00535206021	9.677578621	0.02597274565	9.024242814	0.03088907657	10.48	0.4995998399	3.386435367	0.3419674023	-0.6769703836	0
